0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:07 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:07 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:08 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:08 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:08 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:08 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:21 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:21 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:22 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:42:29 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:43:26 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:43:26 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:11 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:11 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:12 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:12 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:12 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:12 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:31 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:31 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
